<<<<<<< HEAD
<<<<<<< HEAD,,,,,,,,,,,,,,,,,,,,
fips,date,PRECTOT,PS,QV2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,score
1001,1/3/2017,18.82,99.69,9.74,14.24,13.44,13.44,18.48,9.29,9.2,14.06,2.25,3.73,1.64,2.09,4.8,7.27,2.54,4.72,2
1001,1/4/2017,0.01,100.02,5.21,8.1,3.86,3.88,11.74,2.12,9.62,8.08,2.63,3.95,1.34,2.6,4.98,6.16,3.36,2.8,
1001,1/5/2017,0.01,99.89,4.54,5.91,2.2,2.22,13.07,-0.18,13.24,5.85,1.76,2.76,0.47,2.28,3.43,4.7,0.66,4.04,
1001,1/6/2017,19.85,100.34,3.31,0.35,-2.02,-2,4.74,-4.25,8.99,0.42,3.31,3.98,2.15,1.83,5.29,6.03,3.82,2.21,
1001,1/7/2017,0.06,101.59,1.8,-6.49,-9.4,-9.28,-1.02,-11.57,10.55,-7.05,3.64,4.47,2.84,1.63,6.51,7.68,4.75,2.94,
1001,1/8/2017,0,102.36,1.87,-6.38,-9.11,-9.02,0.68,-12.89,13.57,-8.36,2.18,2.81,1.16,1.65,3.69,4.66,1.93,2.73,
1001,1/9/2017,0,101.98,2.67,-2.14,-4.85,-4.81,5.2,-9.54,14.74,-3.05,2.39,2.74,1.7,1.04,4.61,7.01,2.77,4.23,
1001,1/10/2017,0.02,101.13,5.62,5.92,4.54,4.55,12.42,-2.37,14.79,5.81,3.22,4.24,2.52,1.72,6.19,7.55,4.68,2.86,2
1001,1/11/2017,0.33,100.81,9.71,14.38,13.49,13.49,20.24,9.97,10.27,14.21,2.88,4.24,2.26,1.98,5.73,7.01,4.76,2.25,
1001,1/12/2017,0.09,101.03,10.27,15.69,14.45,14.45,22.6,10.66,11.94,15.54,2.31,3.1,1.54,1.55,5.03,6.22,3.36,2.87,
