TS,T2M,TS_1
14.06,14.24
8.08,8.1,14.06
5.85,5.91,8.08
0.42,0.35,5.85
-7.05,-6.49,0.42
-8.36,-6.38,-7.05
-3.05,-2.14,-8.36
5.81,5.92,-3.05
14.21,14.38,5.81
15.54,15.69,14.21
15.8,16.7,15.54
14.44,16.9,15.8
14.23,15.88,14.44
15.71,15.81,14.23
17.1,17.21,15.71
17.18,17.66,17.1
17.43,17.53,17.18
18.03,18.12,17.43
18.1,18.19,18.03
15.36,15.45,18.1
11.53,11.56,15.36
8.95,9.27,11.53
13.27,13.37,8.95
9.49,9.54,13.27
3.73,3.63,9.49
4.05,4.01,3.73
5.65,5.63,4.05
6.37,6.42,5.65
11.32,11.38,6.37
13.2,13.3,11.32
13.68,13.75,13.2
7.52,7.45,13.68
4.39,4.32,7.52
7.61,7.65,4.39
13.86,13.88,7.61
15.37,15.61,13.86
17.29,17.41,15.37
6.57,6.53,17.29
7.72,7.78,6.57
15.78,15.8,7.72
18.81,18.91,15.78
10.35,10.56,18.81
11.68,11.73,10.35
11.92,11.98,11.68
6.53,6.99,11.92
9.64,9.69,6.53
12.22,12.98,9.64
14.29,15.32,12.22
14.94,15.02,14.29
15.32,15.39,14.94
17.08,17.17,15.32
17.6,17.62,17.08
18.8,18.83,17.6,
11.9,11.94,18.8
8.1,8.02,11.9
12.26,12.26,8.1
18.21,18.25,12.26
19.22,19.34,18.21
8.97,8.96,19.22
7.43,7.53,8.97
8.36,8.37,7.43
11.71,11.7,8.36
15.23,15.31,11.71
16.33,16.39,15.23
12.11,13.29,16.33
14.35,14.7,12.11
15.6,15.71,14.35
8.02,7.9,15.6
8.47,8.25,8.02
6.82,6.71,8.47
6,5.85,6.82
1.81,1.6,6
4.26,5.26,1.81
11.22,11.85,4.26
15.38,15.47,11.22
11.87,12.09,15.38
16.33,16.28,11.87
19.83,19.9,16.33
16.68,16.7,19.83
16.12,16.03,16.68
17.68,17.65,16.12
18.29,18.27,17.68
19.81,19.8,18.29
19.47,19.54,19.81
21.07,21.6,19.47
20.78,21.03,21.07
19.05,19.09,20.78
16.75,16.81,19.05
17.1,17.13,16.75
18.48,18.46,17.1
20.17,20.26,18.48
19.91,19.93,20.17
21.34,21.45,19.91
12.52,12.45,21.34
11.73,11.66,12.52
12.28,13.04,11.73
14.84,15.08,12.28
16.97,16.98,14.84
19.38,19.67,16.97
20.08,20.87,19.38
20.66,21.13,20.08
20.56,20.78,20.66
20.43,20.4,20.56
19.62,19.69,20.43
21.02,21.07,19.62
21.28,21.57,21.02
20.77,21.15,21.28
22.61,22.65,20.77
22.31,22.29,22.61
20.92,20.87,22.31
15.45,15.34,20.92
14.47,14.72,15.45
18.02,18.21,14.47
20.3,20.23,18.02
21.1,21.83,20.3
23.43,23.47,21.1
23.52,23.6,23.43
24.17,24.18,23.52
18.89,18.93,24.17
21.99,21.29,18.93
